objectid,lad16cd,lad16nm,lad16nmw,bng_e,bng_n,long,lat,st_areasha,st_lengths,population,households,single,double,treble,quadruple,quintuple_plus,household_size
168,E07000139,North Kesteven,North Kesteven,502135,354788,-0.47670001,53.08058167,921880110.3,171405.8318,105980,45972,12052,18789,7100,5876,18789,2.3
169,E07000140,South Holland,South Holland,532909,322928,-0.03058,52.78757858,751098897.9,158146.7395,87409,37264,9441,15369,5695,4657,15369,2.3
170,E07000141,South Kesteven,South Kesteven,501406,328986,-0.49564999,52.84885025,942467370.3,192456.6895,132493,57344,15599,22439,9030,7425,22439,2.3
171,E07000142,West Lindsey,West Lindsey,499314,390326,-0.50774002,53.40044022,1157316509,230417.0449,87850,38385,10487,15487,5933,4535,15487,2.3
172,E07000143,Breckland,Breckland,591015,303330,0.81871599,52.59421158,1304857251,219811.0353,127632,54519,14150,22132,8278,6765,22132,2.3
173,E07000144,Broadland,Broadland,619865,315909,1.25233197,52.6962204,554413150,181569.3832,122931,53336,14087,21632,8111,6999,21632,2.3
174,E07000145,Great Yarmouth,Great Yarmouth,646760,315882,1.64949596,52.68439865,173465619.5,123985.5309,96230,42079,12571,15664,6541,4846,15664,2.3
175,E07000146,King's Lynn and West Norfolk,King's Lynn and West Norfolk,571220,315805,0.53325802,52.71282959,1437533876,329941.0043,145253,62977,17116,25580,9365,7336,25580,2.3
176,E07000147,North Norfolk,North Norfolk,611083,330845,1.132195,52.83377838,964072378.2,273148.7825,99023,46046,14320,19614,5796,4328,19614,2.2
177,E07000148,Norwich,Norwich,622355,309773,1.28497899,52.64012909,38852353.28,37258.7843,127754,60319,23020,20223,8168,5929,20223,2.1
178,E07000149,South Norfolk,South Norfolk,628991,295823,1.37324798,52.51218033,908279783.5,219303.2428,122219,52809,13870,21663,7680,6896,21663,2.3
179,E07000150,Corby,Corby,487862,290681,-0.7069,52.50696945,79035990.97,56595.19286,60990,25215,6696,8717,4690,3404,8717,2.4
